Product_Name,Estate_Region,Roast_Level,Flavor_Notes,Format,Price_INR,Availability,Image_URL
Attikan Estate,Biligiri Hills Karnataka,Medium-Dark,"Dark Chocolate, Figs, Roasted Almond",Ground/Whole Bean,700,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Attikan-estate-Front.jpg
Dhak Blend,Multi-Estate Blend,Medium-Dark,"Dark Chocolate, Cocoa, Fruit Jam",Ground/Whole Bean,700,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Dhak-Blend-Front.jpg
Half-Caff (Yelnoorkhan Estate),Chikmagalur Karnataka,Medium,"Chocolate Biscuits, Roasted Hazelnut, Malt",Ground/Whole Bean,450,In Stock,https://bluetokaicoffee.com/cdn/shop/files/1.-Half-Caff__Front_b6fd7e82-a892-4233-9e4b-744783a97b6d.jpg
Krishnagiri Estate,Karnataka,Dark,"Oak, Toasted Walnuts, Malt",Ground/Whole Bean,700,In Stock,https://bluetokaicoffee.com/cdn/shop/files/1.-Krishnagiri-Estate__Front.jpg
Elkhill Estates,Karnataka,Medium,"Orange, Brown Spice, Roasted Hazelnut",Ground/Whole Bean (Anaerobic Washed),800,In Stock,https://bluetokaicoffee.com/cdn/shop/files/1.-Elkhill-Estates-_Front_39e2aeec-9d3e-4484-93e3-7028fbbe1aaf.jpg
M.S. Estate,Karnataka,Medium,"Orange Marmalade, Dried Date, Earl Grey Tea",Ground/Whole Bean,800,In Stock,https://bluetokaicoffee.com/cdn/shop/files/1.-M.S.-Estate__Front.jpg
St. Joseph Estate,Palani Hills Tamil Nadu,Medium-Dark,"Grapefruit, Clove, Toffee",Ground/Whole Bean,700,In Stock,https://bluetokaicoffee.com/cdn/shop/files/1.-St.Joseph-Estate__Front_2.jpg
Monsoon Malabar AA - Hoysala Estate,Malabar Coast,Medium,"Cocoa Nibs, Nutty, Raisins",Ground/Whole Bean,700,In Stock,https://bluetokaicoffee.com/cdn/shop/files/1.MonsoonMalabar-HoysalaEstate__Front.jpg
Sandalwood Estate,Karnataka,Medium-Dark,"Dark Chocolate, Prune, Orange Marmalade",Ground/Whole Bean,750,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Sandalwood-Estate-Front.jpg
Kalledevarapura Estate (Pulp Sun Dried),Karnataka,Medium,"Brown Sugar, Roasted Almond, Raisin",Ground/Whole Bean,800,In Stock,https://bluetokaicoffee.com/cdn/shop/files/Kalledevarapura-Front.jpg
Unakki Estate,Karnataka,Medium-Dark,"Chocolate, Raisins, Brown Spices",Ground/Whole Bean (Washed),800,In Stock,https://bluetokaicoffee.com/cdn/shop/files/1.-Unakki-Estate__Front.jpg
